57,int,0.12235048226208013,'2.2.2 FP operations'
sequence error:,supervisor software,0.18470189316413665,'3.4 Floating-Point Exceptions and Floating-Point Deferred-Queue'
leon integer unit,grfpu lite floating-point unit,0.21353458979214254,'3.1 Overview'
dp dp,addition,0.15847194395962547,'2.2.2 FP operations'
throughput,floating,0.13390053779946964,'2.2.2 FP operations'
exceptions,supervisor software,0.21456852057154024,'2.2.2 FP operations'
gaisler ab,gaisler ab,0.06918749179935264,'Table of contents'
invalid,point,0.13670138785891597,'2.2.2 FP operations'
integer unit,lite control,0.13135100697630345,'1.1 Overview'
sparc v8 specification,v8 specification,0.15591580411857897,'3.3 Floating-Point State Register FSR'
v8 instruction,operations,0.15999013120309719,'2.2.2 FP operations'
state register,v8 specification,0.15376933403454535,'3.3 Floating-Point State Register FSR'
faddd,sp dp,0.12875625247474065,'2.2.2 FP operations'
cell count,cell count,0.0,'1.3 Implementation characteristics'
generated,quiet,0.16630756060761803,'2.2.2 FP operations'
stdfq instruction,instruction code,1.0,'3.4 Floating-Point Exceptions and Floating-Point Deferred-Queue'
op1,op1,0.0,'2.2.2 FP operations'
fstoi fdtoi,throughput,0.1608466594370727,'2.2.2 FP operations'
bit error,fpu register,0.15366058146203357,'3.2 Floating-Point register file'
conversion,formats,0.16748935440357338,'2.2.2 FP operations'
results,also,0.1922842079749466,'2.2.3 Exceptions'
fp register,fp register file,0.11069998687896423,'3.4 Floating-Point Exceptions and Floating-Point Deferred-Queue'
v8 integer,ieee standard,0.16133759154879423,'1.1 Overview'
grfpu lite control,grfpu lite control unit,0.14422073074708372,'1.1 Overview'
double,numbers,0.14416055995266444,'2.2.1 Floating-point number formats'
sweden www.aeroflex.com/gaisler,sweden www.aeroflex.com/gaisler,0.0,'Table of contents'
65,conversion,0.13115679937044172,'2.2.2 FP operations'
sp dp dp,addition,0.1273712860661775,'2.2.2 FP operations'
section,see,0.14463637712259014,'2.2.2 FP operations'
move,operations,0.17457239780358053,'2.2.2 FP operations'
